UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE
"Technical University Munich, Munich","Bavaria, germany",6.2/10 , TOEFL 88 , M.S Information System...$144/Yr
"Ludwig Maximilian University of Munich, Munich","Bavaria, germany",6.2/10 , IELTS 5.5 , M.Sc Data Science$287/Yr
"University of Minnesota - Twin Cities, Minneapolis","Minnesota, usa",6.1/10 ,-*-, M.S Computer Science$13.2K/Yr
"Boston University, Boston","Massachusetts, usa",6.1/10 , TOEFL 84 , M.S Computer Science$56.9K/Yr
"University of Bristol, Bristol","England, uk",6.1/10 ,-*-, M.S Advanced Microelec...$27.4K/Yr
"Ohio State University, Columbus","Ohio, usa",6.1/10 , GRE 316 | TOEFL 79 , M.Sc Computer Science ...$39.8K/Yr
"University of Southampton, Southampton","England, uk",6.1/10 , IELTS 6.0 , M.Sc Computer Science$33.6K/Yr
"Georgia Institute of Technology, Atlanta","Georgia, usa",6.1/10 , GMAT 681 | IELTS 7 , M.B.A$40.8K/Yr
"University of Warwick, Coventry","England, uk",6.1/10 , IELTS 6.5 , M.Sc Business and Fina...$44.8K/Yr
"University of Birmingham, Birmingham","England, uk",6.1/10 , TOEFL 80 , M.Sc Computer Science$34.8K/Yr
"Michigan State University, East Lansing","Michigan, usa",6.1/10 , IELTS 6.5 , M.Sc Computer Science$50.4K/Yr
"Free University of Berlin, Berlin","Berlin, germany",6.1/10 , IELTS 5.0 ," M.Sc Finance, Accounti...--"
"University of California, Davis","California, usa",6.1/10 ,-*-, M.Sc Computer Science$33.4K/Yr
"University of Illinois - Urbana Champaign, Urbana","Illinois, usa",6.0/10 ,-*-, M.Sc Computer Science$27.3K/Yr
"University of California, San Francisco","California, usa",6.0/10 ,-*-, L.L.M U.S. Legal Studi...$47K/Yr
"University of Nottingham, Nottingham","England, uk",6.0/10 , IELTS 6.5 , M.Sc Computer Science$34.7K/Yr
"University of Sheffield, Sheffield","England, uk",6.0/10 , IELTS 6.5 , M.Sc Data Analytics$32.2K/Yr
"University of Pittsburgh, Pittsburgh","Pennsylvania, usa",6.0/10 , GMAT 600 | TOEFL 100 , M.B.A$32.9K/Yr
"University of Montreal, Montreal","Quebec, canada",6.0/10 , TOEFL 72 , M.Eng Computer Enginee...$9.3K/Yr
"Durham University, Durham","England, uk",5.9/10 ,-*-, M.B.A$37.9K/Yr
"Monash University, Melbourne","Victoria, australia",5.9/10 , GMAT 650 | TOEFL 79 , Master of  Advanced En...$32.5K/Yr
"University of Bonn, Bonn","North Rhine-Westphalia, germany",5.9/10 , IELTS 6 , M.Sc Computer Science$666/Yr
"University of Southern California, Los Angeles","California, usa",5.9/10 , TOEFL 90 , M.Sc Computer Science$25.8K/Yr
"University of Leeds, Leeds","England, uk",5.9/10 , IELTS 6.5 , M.B.A$39.7K/Yr
"Pennsylvania State University, State College","Pennsylvania, usa",5.9/10 ,-*-, M.S Computer Science$38.5K/Yr
"University of California, Santa Barbara","California, usa",5.9/10 ,-*-, M.S Computer Science$16.3K/Yr
"RWTH Aachen University, Aachen","North Rhine-Westphalia, germany",5.9/10 , IELTS 6.5 , M.S Data Analytics and...$17K/Yr
"Dartmouth College, Hanover","New Hampshire, usa",5.9/10 , IELTS 7 , M.Sc Computer Science$55.6K/Yr
"University of Maryland, College Park","Maryland, usa",5.9/10 , GMAT 700 | TOEFL 80 , M.Sc Computer Science$37.6K/Yr
"Vrije Universiteit Amsterdam, Amsterdam","North Holland, netherlands",5.9/10 ,-*-, M.S Business Administr...$16.6K/Yr
"University of Rochester, Rochester","New York, usa",5.8/10 , GRE 292 | IELTS 7 , M.Sc Finance$79.2K/Yr
"Radboud University, Nijmegen","Gelderland, netherlands",5.8/10 ,-*-, M.S Data Science$12.3K/Yr
"Delft University of Technology, Delft","South Holland, netherlands",5.8/10 ,-*-, M.S Aerospace Engineer...$17.2K/Yr
"Purdue University, West Lafayette","Indiana, usa",5.8/10 ,-*-, M.Sc Business Analytic...$48.6K/Yr
"University of Adelaide, Adelaide","South Australia, australia",5.8/10 , TOEFL 79 , M.Sc Data Science$34.6K/Yr
"Case Western Reserve University, Cleveland","Ohio, usa",5.8/10 , IELTS 7 , Master Accountancy$38.4K/Yr
"Leiden University, Leiden","South Holland, netherlands",5.8/10 ,-*-, M.S Data Science: Comp...$20.8K/Yr
"University of Alabama, Birmingham","Alabama, usa",5.8/10 ,-*-, M.S Computer Sciences$38.4K/Yr
"Karlsruhe Institute of Technology, Karlsruhe","Baden-Wurttemberg, germany",5.7/10 ,-*-, M.Sc Mechanical engine...$3.3K/Yr
"Rice University, Houston","Texas, usa",5.7/10 , TOEFL 90 , Master Computer Scienc...$48.3K/Yr
"Erasmus University Rotterdam, Rotterdam","South Holland, netherlands",5.7/10 , IELTS 7 , M.Sc Finance and Inves...$20.2K/Yr
"University of Groningen, Groningen","Groningen, netherlands",5.7/10 ,-*-, M.S Industrial Enginee...$16.1K/Yr
"Vanderbilt University, Nashville","Tennessee, usa",5.7/10 , GMAT 690 | TOEFL 101 , M.B.A$58.4K/Yr
"Texas A&M University, College Station","Texas, usa",5.7/10 , GRE 309 | IELTS 6.5 , M.S Computer Science$20K/Yr
"City University of Hong Kong, Kowloon Tong","Hong Kong, hong-kong",5.7/10 ,-*-, M.S Operations and Sup...--
"University of St Andrews, St Andrews","Scotland, uk",5.7/10 ,-*-, M.S Advanced Computer ...$26.5K/Yr
"University of Auckland, Auckland","North Island, new-zealand",5.7/10 ,-*-, Master Data Science$21K/Yr
"University of Alberta, Edmonton","Alberta, canada",5.7/10 , GMAT 550 | TOEFL 100 , M.B.A$22.3K/Yr
"Queen Mary, University of London, London","England, uk",5.7/10 ,-*-, M.S Big Data Science w...$24.6K/Yr
"Eindhoven University of Technology, Eindhoven","North Brabant, netherlands",5.7/10 ,-*-, M.S Automotive Technol...$18.2K/Yr
"Heidelberg University, Heidelberg","Baden-Wurttemberg, germany",5.7/10 ,-*-, M.Sc Computer Engineer...$382/Yr
"University of Colorado, Boulder","Colorado, usa",5.7/10 ,-*-, M.Sc Computer Science$33.9K/Yr
"Queen's University Belfast, Belfast","Northern Ireland, uk",5.6/10 ,-*-, M.S Applied Cyber Secu...$24.8K/Yr
"Tufts University, Medford","Massachusetts, usa",5.6/10 , TOEFL 100 , M.Sc Data Science$51.5K/Yr
"KTH Royal Institute of Technology, Stockholm","Uppland, sweden",5.6/10 ,-*-, M.S Computer Science$17K/Yr
"University of Notre Dame, Notre Dame","Indiana, usa",5.6/10 , GMAT 590 | TOEFL 100 , M.B.A$28.2K/Yr
"London School of Hygiene & Tropical Medicine, London","England, uk",5.6/10 ,-*-, M.S Immunology of Infe...--
"University of Florida, Gainesville","Florida, usa",5.6/10 , GRE 300 | TOEFL 80 , M.Sc Computer Science$12.7K/Yr
"University of Liverpool, Liverpool","England, uk",5.6/10 , IELTS 6.0 , M.Eng Civil Engineerin...$28.1K/Yr
"Technical University Berlin, Berlin","Berlin, germany",5.6/10 , TOEFL 80 , M.Sc Computer Science--
"Rockefeller University, New York City","New York, usa",5.6/10 ,-*-, Ph.D Health Sciences T...--
"University of York, York","England, uk",5.6/10 , TOEFL 87 , M.A Social Policy$22.6K/Yr
