UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE
"University of North Texas, Denton","Texas, usa",4.1/10 , GRE 303 | TOEFL 79 , M.Sc Computer Science$15.8K/Yr
"Technical University of Braunschweig, Braunschweig","Lower Saxony, germany",4.1/10 ,-*-, M.Sc Automotive Engine...--
"Fordham University, Bronx","New York, usa",4.1/10 , IELTS 7.0 , M.Sc Information Techn...$48.5K/Yr
"University of Quebec at Montreal, Montreal","Quebec, canada",4.1/10 , TOEFL 61 , M.Sc Computer Science$13.5K/Yr
"South Dakota State University, Brookings","South Dakota, usa",4.1/10 ,-*-, M.S Data Science$12.1K/Yr
"Haverford College, Haverford","Pennsylvania, usa",4.1/10 ,-*-, B.A/B.Sc Mathematics$54.8K/Yr
"Western Michigan University, Kalamazoo","Michigan, usa",4.1/10 ,-*-, M.B.A$15.5K/Yr
"University of Siegen, Siegen","North Rhine-Westphalia, germany",4.1/10 , TOEFL 72 , M.Sc Mechatronics--
"University of Akron, Akron","Ohio, usa",4.1/10 ,-*-, M.S Computer Science$16.9K/Yr
"Ohio University, Athens","Ohio, usa",4.1/10 , TOEFL 80 , M.B.A$33.4K/Yr
"Northern Illinois University, DeKalb","Illinois, usa",4.1/10 ,-*-, M.S Engineering Manage...$11.7K/Yr
"Marquette University, Milwaukee","Wisconsin, usa",4.1/10 , TOEFL 80 , M.Sc Electrical and Co...$17.5K/Yr
"Naval Postgraduate School, Monterey","California, usa",4.1/10 ,-*-, M.S Computer Technolog...--
"The City College of New York, New York City","New York, usa",4.1/10 ,-*-, M.S Civil Engineering$12.6K/Yr
"Universiti Teknologi Petronas, Seri Iskander","Perak, malaysia",4.1/10 ,-*-, M.S Petroleum Engineer...$9.9K/Yr
"Kingston University, Kingston upon Thames","England, uk",4.1/10 , IELTS 6.5 , M.B.A$32.9K/Yr
"University of Nevada, Reno","Nevada, usa",4.1/10 ,-*-, M.A Social Work$21.5K/Yr
"Otto von Guericke University, Magdeburg","Saxony, germany",4.1/10 , TOEFL 80 , M.Sc Chemical and Ener...--
"Dublin Institute of Technology, Dublin","Dublin, ireland",4.1/10 ,-*-, M.A Mechanical Enginee...$14.2K/Yr
"University of South Wales, Pontypridd","Wales, uk",4.1/10 ,-*-, M.S Electronics and In...$16.4K/Yr
"Missouri University of Science and Technology, Rolla","Missouri, usa",4.1/10 ,-*-, M.S Computer Science$37K/Yr
"University of Toledo, Toledo","Ohio, usa",4.1/10 ,-*-, M.S Electrical Enginee...$25.6K/Yr
"University of New England, Armidale","New South Wales, australia",4.1/10 , IELTS 6 , M.Sc Agriculture$26.1K/Yr
"California State University, Fresno","California, usa",4.1/10 , IELTS 6.5 , M.S Computer Science$17.6K/Yr
"University of Rhode Island, Kingston","Rhode Island, usa",4.1/10 ,-*-, M.S Computer Science$25.9K/Yr
"Cranfield University, Bedford","England, uk",4.1/10 ,-*-, M.S Advanced Motorspor...$25.3K/Yr
"Michigan Technological University, Houghton","Michigan, usa",4.1/10 ,-*-, M.S Data Science$18.3K/Yr
"University of California, Merced","California, usa",4.1/10 ,-*-, M.S Biological Enginee...$28.3K/Yr
"Mississippi State University, Mississippi State","Mississippi, usa",4.1/10 ,-*-, M.S Information System...$14K/Yr
"Duquesne University, Pittsburgh","Pennsylvania, usa",4.1/10 ,-*-, M.S Information System...$25.3K/Yr
"University of Alaska, Anchorage","Alaska, usa",4.1/10 ,-*-, M.B.A Management$36.9K/Yr
"University of Maryland Baltimore County, Baltimore","Maryland, usa",4.1/10 , IELTS 6.5 , Master of Professional...$19.1K/Yr
"University of Limerick, Limerick","Limerick, ireland",4.1/10 ,-*-, M.A Business Managemen...$13.6K/Yr
"University of Nevada, Las Vegas","Nevada, usa",4.1/10 ,-*-, M.S Construction Manag...$23.3K/Yr
"South Dakota School of Mines & Technology, Rapid City","South Dakota, usa",4.1/10 ,-*-, M.S Computational Scie...$14.6K/Yr
"Howard University, Washington","District of Columbia, usa",4.1/10 , TOEFL 90 , M.Eng Mechanical Engin...$31.3K/Yr
"College of Staten Island, Staten Island","New York, usa",4.1/10 ,-*-, M.S Computer Science$14.9K/Yr
"Karlstad University, Karlstad","Varmland, sweden",4.1/10 ,-*-, M.S Computer Science$14.5K/Yr
"University of Wolverhampton, Wolverhampton","England, uk",4.1/10 , IELTS 6.0 , M.Sc Computer Science$17.7K/Yr
"University of North Carolina, Charlotte","North Carolina, usa",4.1/10 , IELTS 6.5 , M.Sc Computer Science$33.3K/Yr
"Jacobs University, Bremen","Bremen, germany",4.1/10 , TOEFL 90 , M.S Supply Chain Manag...$22.2K/Yr
"University of Central Lancashire, Preston","England, uk",4.1/10 ,-*-, M.A Intercultural Busi...$16.4K/Yr
"Ryerson University, Toronto","Ontario, canada",4.1/10 , GMAT 550 | TOEFL 92 , M.B.A$26.9K/Yr
"University of Brighton, Brighton","England, uk",4.1/10 ,-*-, M.S Global Pharmacy$19.6K/Yr
"Marshall University, Huntington","West Virginia, usa",4.1/10 ,-*-, M.S Information System...$20.3K/Yr
"Portland State University, Portland","Oregon, usa",4.1/10 , GRE 300 | TOEFL 80 , M.Sc Computer Science$14.2K/Yr
"Rochester Institute of Technology, Rochester","New York, usa",4.1/10 , IELTS 7 , E.M.B.A$78K/Yr
"California Polytechnic State University, San Luis Obispo","California, usa",4.1/10 ,-*-, B.Sc Agricultural Scie...$21.8K/Yr
"University of Regina, Regina","Saskatchewan, canada",4.1/10 , GRE 328 | TOEFL 70 , M.Sc Computer Science$3.9K/Yr
"New York Medical College, Valhalla","New York, usa",4.1/10 ,-*-, M.S Cell Biology$58.6K/Yr
"Jonkoping University, Jonkoping","Jonkoping, sweden",4.1/10 ,-*-, M.S Industrial Design$15.4K/Yr
"Virginia Institute of Marine Science, Gloucester Point","Virginia, usa",4.1/10 ,Estd. Year, M.Sc Marine Science--
"Lamar University, Beaumont","Texas, usa",4.1/10 ,Estd. Year, M.A Engineering Manage...$20.2K/Yr
"Southern Illinois University, Carbondale","Illinois, usa",4.1/10 ,-*-, M.S Computer Science$29.2K/Yr
"University of Augsburg, Augsburg","Bavaria, germany",4.1/10 ,-*-, M.Sc Industrial Engine...--
"University of Memphis, Memphis","Tennessee, usa",4.1/10 , GRE 299 | TOEFL 79 , M.Sc Mechanical Engine...$29.6K/Yr
"San Francisco State University, San Francisco","California, usa",4.1/10 ,-*-," M.S Recreation, Parks,...$10.7K/Yr"
"Illinois Institute of Technology, Chicago","Illinois, usa",4.1/10 ,-*-, M.S Computer Science$45.4K/Yr
"Wichita State University, Wichita","Kansas, usa",4.1/10 ,-*-, M.Eng Engineering Mana...$22.3K/Yr
"University of Winnipeg, Winnipeg","Manitoba, canada",4.1/10 , TOEFL 80 ," M.Mgmt Technology,Inno...$16.1K/Yr"
"Manchester Metropolitan University, Manchester","England, uk",4.1/10 ,-*-, M.S Accounting and Fin...$19.6K/Yr
"Texas State University, San Marcos","Texas, usa",4.1/10 , IELTS 6.5 , M.Sc Computer Science$31K/Yr
"University of Lincoln, Lincoln","England, uk",4.1/10 ,-*-, M.S Fashion Management$19.3K/Yr
"Chapman University, Orange","California, usa",4.1/10 , GRE 303 | IELTS 6.5 , M.Sc Computational and...$50.5K/Yr
"University of Texas, El Paso","Texas, usa",4.1/10 ,-*-, M.S Construction Manag...$47.3K/Yr
"University of Wuppertal, Wuppertal","North Rhine-Westphalia, germany",4.1/10 , TOEFL 79 , M.Sc Applied Economics...--
"Martin Luther University Halle-Wittenberg, Halle","Saxony, germany",4.1/10 , TOEFL 87 , M.Sc International Fin...--
"Florida Atlantic University, Boca Raton","Florida, usa",4.1/10 ,-*-, M.S Computer Engineeri...$20.4K/Yr
"Hunter College, New York City","New York, usa",4.1/10 ,-*-, M.S Biomedical Laborat...$24.9K/Yr
"University of Hawaii, Hilo","Hawaii, usa",4.1/10 ,-*-, M.S Tropical Conservat...$26.6K/Yr
"University of Maine, Orono","Maine, usa",4.1/10 ,-*-, M.S Computer Science$27.5K/Yr
"James Madison University, Harrisonburg","Virginia, usa",4.1/10 , GRE 310 | TOEFL 80 , Master Public Administ...$51.7K/Yr
"University of Windsor, Windsor","Ontario, canada",4.1/10 , TOEFL 100 , M.Mgmt$20.2K/Yr
"University of North Carolina, Greensboro","North Carolina, usa",4.1/10 ,-*-, M.A History - Museum S...$19.5K/Yr
"University of Alabama, Huntsville","Alabama, usa",4.1/10 ,-*-, M.Sc Computer Science$24.4K/Yr
"Appalachian State University, Boone","North Carolina, usa",4.1/10 ,-*-, M.A Industrial-Organiz...$13.7K/Yr
"California State University, Long Beach","California, usa",4.1/10 ,-*-, M.S Computer Science$9.1K/Yr
"Hannover Medical School, Hannover","Lower Saxony, germany",4.1/10 , IELTS 6 , M.D Structural Medicin...--
"Witten/Herdecke University, Witten","North Rhine-Westphalia, germany",4.1/10 ,-*-, M.S.N--
"University of Bradford, Bradford","England, uk",4.1/10 ,-*-, M.S European and Inter...$16.5K/Yr
"Illinois State University, Normal","Illinois, usa",4.1/10 ,-*-, M.F.A$18K/Yr
"University of Prince Edward Island, Charlottetown","Prince Edward Island, canada",4.1/10 , TOEFL 100 , M.Sc$8.6K/Yr
"University of the West of Scotland, Glasgow","Scotland, uk",4.1/10 ,-*-, M.S Quality Management...$13.4K/Yr
"Teesside University, Middlesbrough","England, uk",4.1/10 , IELTS 6.5 , M.B.A$19.9K/Yr
"Brooklyn College, Brooklyn","New York, usa",4.1/10 ,-*-, M.A Chemistry$14.9K/Yr
"Clarkson University, Potsdam","New York, usa",4.1/10 ,-*-, M.S Civil and Environm...--
"University of Missouri, St. Louis","Missouri, usa",4.1/10 ,-*-, M.S Computer Science--
"University of Quebec at Chicoutimi, Chicoutimi","Quebec, canada",4.1/10 ,-*-, M.B.A$11.6K/Yr
"University of North Dakota, Grand Forks","North Dakota, usa",4.1/10 ,-*-, M.S Adult-Gerontology ...$23.4K/Yr
"Loma Linda University, Loma Linda","California, usa",4.1/10 ,-*-, M.S Chaplaincy$30.6K/Yr
"Sheffield Hallam University, Sheffield","England, uk",4.1/10 ,-*-, M.S Big Data Analytics$17K/Yr
"University of South Alabama, Mobile","Alabama, usa",4.1/10 ,-*-, M.S Chemical Engineeri...$26.5K/Yr
"Sonoma State University, Rohnert Park","California, usa",4.1/10 ,-*-, M.S Computer and Engin...$12.6K/Yr
"East Carolina University, Greenville","North Carolina, usa",4.1/10 ,-*-, B.Sc Nursing$10.5K/Yr
"Brock University, St. Catharines","Ontario, canada",4.1/10 , GMAT 550 | TOEFL 105 , M.Sc Computer Science$11.8K/Yr
"Southern University and A&M College, Baton Rouge","Louisiana, usa",4.1/10 ,-*-, M.S Mathematics$4.3K/Yr
"Embry-Riddle Aeronautical University, Daytona Beach","Florida, usa",4.1/10 , TOEFL 79 , M.B.A Aviation Managem...$20.5K/Yr
"Oakland University, Rochester","Michigan, usa",4.1/10 ,-*-, M.S Applied Statistics$16.4K/Yr
"Towson University, Towson","Maryland, usa",4.1/10 , IELTS 6.5 , M.Sc Supply Chain Mana...$51K/Yr
"Philipps University Marburg, Marburg","Hesse, germany",4.1/10 ,-*-, M.Sc Business Administ...--
"Baruch College, New York City","New York, usa",4.1/10 ,-*-, M.S Real Estate$24.9K/Yr
"Morehouse School of Medicine, Atlanta","Georgia, usa",4.1/10 , IELTS 7 , M.Sc Biomedical Resear...$25.9K/Yr
"University of Colorado, Colorado Springs","Colorado, usa",4.1/10 ,-*-, M.A Engineering Manage...$23.4K/Yr
"Sam Houston State University, Huntsville","Texas, usa",4.1/10 ,-*-," M.A Creative Writing, ...$20.1K/Yr"
"Santa Clara University, Santa Clara","California, usa",4.1/10 , IELTS 6.5 , M.S Software Engineeri...$20K/Yr
"Catholic University of America, Washington","District of Columbia, usa",4.1/10 ,-*-, M.S Data Analytics$45.1K/Yr
"University of Lethbridge, Lethbridge","Alberta, canada",4.1/10 , TOEFL 80 , M.Sc Computer Science$10.1K/Yr
"Trent University, Peterborough","Ontario, canada",4.1/10 , TOEFL 93 , M.Sc Big Data Analytic...$15.3K/Yr
"Leibniz University of Hannover, Hannover","Lower Saxony, germany",4.1/10 , TOEFL 79 , M.A Advanced Anglophon...--
"Western Kentucky University, Bowling Green","Kentucky, usa",4.1/10 ,-*-, M.S Engineering Techno...$19.3K/Yr
"Wright State University, Dayton","Ohio, usa",4.1/10 ,-*-, M.S Pharmacology and T...$12.1K/Yr
"Bowling Green State University, Bowling Green","Ohio, usa",4.1/10 ,-*-, M.A Educational Leader...$30.6K/Yr
"University of Dayton, Dayton","Ohio, usa",4.1/10 ,-*-, M.S Computer Engineeri...$27.7K/Yr
"Medical College of Wisconsin, Milwaukee","Wisconsin, usa",4.1/10 ,-*-, M.A Public Health$18.6K/Yr
"Goldsmiths, University of London, London","England, uk",4.1/10 ,-*-, M.A Television Journal...$23.9K/Yr
"London Metropolitan University, London","England, uk",4.1/10 ,-*-, M.S Food Science$16.3K/Yr
"California State University, Los Angeles","California, usa",4.1/10 ,-*-, M.S Computer Science$18.3K/Yr
"Bond University, Gold Coast","Queensland, australia",4.1/10 , TOEFL 79 , M.B.A$41.3K/Yr
"Technical University Dortmund, Dortmund","North Rhine-Westphalia, germany",4.1/10 , IELTS 6.5 , M.Sc Automation and Ro...--
"University of Massachusetts, North Dartmouth","Massachusetts, usa",4.1/10 ,-*-, M.A Visual Design - Gr...$15.2K/Yr
"Florida Agricultural & Mechanical University, Tallahassee","Florida, usa",4.1/10 ,-*-, M.S Agricultural Scien...$36.1K/Yr
"Ball State University, Muncie","Indiana, usa",4.1/10 ,-*-, M.S Computer Science$22.6K/Yr
"University of New Orleans, New Orleans","Louisiana, usa",4.1/10 ,-*-, M.S Transportation$28.5K/Yr
"Wilfrid Laurier University, Waterloo","Ontario, canada",4.1/10 , TOEFL 83 , Master Applied Computi...$15.6K/Yr
"Chicago State University, Chicago","Illinois, usa",4.1/10 ,Estd. Year, M.S Computer Science$37.8K/Yr
"Bucknell University, Lewisburg","Pennsylvania, usa",4.1/10 ,-*-, M.S Chemical Engineeri...$55.8K/Yr
"National University of Ireland, Galway, Galway","Galway, ireland",4.1/10 ,-*-, M.A Data Analytics$17.6K/Yr
"Queens College, Queens","New York, usa",4.1/10 , IELTS 5 , M.A Media Studies$24.9K/Yr
"Singapore Management University, Singapore","Singapore, singapore",4.1/10 , GMAT 660 | IELTS 6.5 , M.Sc Management$33.3K/Yr
"Wesleyan University, Middletown","Connecticut, usa",4.1/10 ,-*-, M.A Computer Science--
"University of Pacific, Stockton","California, usa",4.1/10 ,-*-, M.S Engineering Scienc...$47.5K/Yr
"Malardalen University, Vasteras","Vastmanland, sweden",4.1/10 ,Estd. Year, M.S Financial Engineer...$16.2K/Yr
"University of Roehampton, London","England, uk",4.1/10 ,-*-, M.S Attachment Studies$18.3K/Yr
"Edinburgh Napier University, Edinburgh","Scotland, uk",4.1/10 ,-*-, M.S Health and Social ...$5.1K/Yr
"DePaul University, Chicago","Illinois, usa",4.1/10 , IELTS 6.5 , M.Sc Information Syste...$22.5K/Yr
"Kennesaw State University, Kennesaw","Georgia, usa",4.1/10 , IELTS 6.5 , M.S Computer Science$34.4K/Yr
"Louisiana Tech University, Ruston","Louisiana, usa",4.1/10 ,-*-, M.S Engineering and Te...$8.9K/Yr
"Royal Veterinary College, University of London, London","England, uk",4.1/10 ,-*-, M.Res$30K/Yr
"University of Bedfordshire, Luton","England, uk",4.1/10 ,-*-, M.S Computer Science w...$15.2K/Yr
"University of Oklahoma Health Sciences Center, Oklahoma City","Oklahoma, usa",4.1/10 ,-*-, M.A Biostatistics$18.3K/Yr
"University of East London, London","England, uk",4.1/10 , IELTS 5.5 , M.B.A$21.5K/Yr
"University of North Florida, Jacksonville","Florida, usa",4.1/10 ,-*-, M.B.A Business - Sport...$31.3K/Yr
"University of Northern British Columbia, Prince George","British Columbia, canada",4.1/10 , IELTS 6.5 , M.Sc Business Administ...$3.8K/Yr
"University of Texas Medical Branch at Galveston, Galveston","Texas, usa",4.1/10 ,-*-, M.S Clinical Laborator...$36K/Yr
"University of Richmond, Richmond","Virginia, usa",4.1/10 ,-*-, M.A Human Resource Man...$37.2K/Yr
"Youngstown State University, Youngstown","Ohio, usa",4.1/10 ,Estd. Year, M.B.A--
"Leeds Beckett University, Leeds","England, uk",4.1/10 ,-*-, M.S Supply Chain Manag...$15.8K/Yr
"University of Southern Mississippi, Hattiesburg","Mississippi, usa",4.1/10 ,-*-, M.S Computer Science$12.5K/Yr
"Texas A&M University, Kingsville","Texas, usa",4.1/10 , GRE 304 | IELTS 6.5 , M.S Computer Science$14.2K/Yr
"University of Greifswald, Greifswald","Mecklenburg-Vorpommern, germany",4.1/10 , TOEFL 80 , M.Sc Earth Sciences--
"Fairfield University, Fairfield","Connecticut, usa",4.1/10 ,-*-, M.S Business Analytics$29.2K/Yr
"Stockholm School of Economics, Stockholm","Uppland, sweden",4.1/10 , GMAT 600 | IELTS 7 , M.Sc Applied Economics...$16.5K/Yr
"School of Oriental and African Studies, University of London, London","England, uk",4.1/10 ,-*-, M.S Finance - Economic...$6.4K/Yr
"Franklin & Marshall College, Lancaster","Pennsylvania, usa",4.1/10 ,-*-, B.A Psychology Psychol...$56.4K/Yr
"Arkansas State University, Jonesboro","Arkansas, usa",4.1/10 ,Estd. Year, M.A Engineering Manage...$38.6K/Yr
"University of San Diego, San Diego","California, usa",4.1/10 ,-*-, M.A Entry Program in N...$45K/Yr
"Universiti Tunku Abdul Rahman (UTAR), Kampar","Perak, malaysia",4.1/10 ,-*-, M.B.A Business Adminis...$7.5K/Yr
"Grand Valley State University, Allendale","Michigan, usa",4.1/10 ,-*-, M.Sc Information Syste...$12.9K/Yr
"Simmons University, Boston","Massachusetts, usa",4.1/10 ,-*-, M.A Social Work - Heal...$31.8K/Yr
"Lehman College, Bronx","New York, usa",4.1/10 ,-*-, M.S Computer Science$14.9K/Yr
"Smith College, Northampton","Massachusetts, usa",4.1/10 ,-*-, M.S Exercise and Sport...$52.1K/Yr
"Clark Atlanta University, Atlanta","Georgia, usa",4.1/10 ,Estd. Year, M.S Computer Science$28.4K/Yr
"University of Texas M. D. Anderson Cancer Center, Houston","Texas, usa",4.1/10 ,-*-, M.Sc Diagnostic Geneti...--
"Mercer University, Macon","Georgia, usa",4.1/10 ,-*-, M.S Business Analytics$13.7K/Yr
"University of Gavle, Gavle","Gavleborg, sweden",4.1/10 ,Estd. Year, M.B.A Business Managem...$10.5K/Yr
"Missouri State University, Springfield","Missouri, usa",4.1/10 , TOEFL 79 , M.Sc Plant Science$17.2K/Yr
"Acadia University, Wolfville","Nova Scotia, canada",4.1/10 ,-*-, M.Sc Computer Science$17.4K/Yr
"London South Bank University, London","England, uk",4.1/10 ,-*-, M.S International Busi...--
"Humboldt State University, Arcata","California, usa",4.1/10 ,-*-, M.S Kinesiology$8.9K/Yr
"Uniformed Services University of Health Sciences, Bethesda","Maryland, usa",4.1/10 ,-*-, M.A Health Professions...$44.9K/Yr
"California State Polytechnic University, Pomona","California, usa",4.1/10 ,-*-, M.S Engineering Manage...$22.6K/Yr
"University of San Francisco, San Francisco","California, usa",4.1/10 , GRE 299 | TOEFL 92 , M.Sc Computer Science$23.7K/Yr
"Swarthmore College, Swarthmore","Pennsylvania, usa",4.1/10 ,-*-, B.Sc Computer Science$52.2K/Yr
"Williams College, Williamstown","Massachusetts, usa",4.1/10 ,-*-, M.A History of Art$55.1K/Yr
"Tennessee State University, Nashville","Tennessee, usa",4.1/10 ,Estd. Year, M.S Computer Science$52.4K/Yr
"Multimedia University, cyberjaya","Selangor, malaysia",4.1/10 ,-*-, B.Sc Artificial Intell...$6.3K/Yr
"University of Boras, Boras","Vastergotland, sweden",4.1/10 ,Estd. Year, M.S Textile Value Chai...$11.6K/Yr
"Universiti Utara Malaysia, Changlun","Kedah, malaysia",4.1/10 ,-*-, M.S Human Resource Man...--
"Middle Tennessee State University, Murfreesboro","Tennessee, usa",4.1/10 ,-*-, M.S Professional Scien...--
"Colby College, Waterville","Maine, usa",4.1/10 ,-*-," B.Sc Science, Technolo...$69.4K/Yr"
"State University of New York Polytechnic Institute, Albany","New York, usa",4.1/10 ,Estd. Year, M.S Computer and Infor...$17K/Yr
"University of Texas Southwestern Medical Center, Dallas","Texas, usa",4.1/10 ,-*-, M.A Clinical Rehabilit...$25.7K/Yr
"University of Moncton, Moncton","NewBrunswick, canada",4.1/10 , TOEFL 83 , M.Sc Computer Science$6.5K/Yr
"Friedrich Schiller University Jena, Jena","Thuringia, germany",4.1/10 ,-*-, M.S Microbiology--
"Mount Holyoke College, South Hadley","Massachusetts, usa",4.1/10 ,-*-, M.A Teacher Leadership$24.5K/Yr
"Whitman College, Walla Walla","Washington, usa",4.1/10 ,-*-, B.Sc Chemistry - Envir...$51.4K/Yr
"Robert Gordon University, Aberdeen","Scotland, uk",4.0/10 ,-*-, M.B.A$21.5K/Yr
"University of Texas, Austin","Texas, usa",4.0/10 , IELTS 6.5 , M.Sc Computer Science$25.2K/Yr
"Texas A&M University Health Science Center, Bryan","Texas, usa",4.0/10 ,-*-, M.S Oral Biology$17.4K/Yr
"University of Chester, Chester","England, uk",4.0/10 ,-*-, M.A Broadcast Media$15.4K/Yr
"University of Derby, Derby","England, uk",4.0/10 ,-*-, M.S Tourism Management$17.1K/Yr
"University of New England Maine, Biddeford","Maine, usa",4.0/10 ,-*-, M.S Physician Assistan...$26.2K/Yr
"Mount Allison University, Sackville","NewBrunswick, canada",4.0/10 , TOEFL 90 , B.Com Aviation$13.6K/Yr
"Edge Hill University, Ormskirk","England, uk",4.0/10 ,-*-, M.B.A Information Tech...$17K/Yr
"Pomona College, Claremont","California, usa",4.0/10 ,-*-, B.Sc Computer Science$52.4K/Yr
"California State University, Sacramento","California, usa",4.0/10 ,-*-, M.S Computer Engineeri...$15.8K/Yr
"Birmingham City University, Birmingham","England, uk",4.0/10 ,-*-, M.A Luxury Brand Manag...$18.3K/Yr
"Cardiff Metropolitan University, Cardiff","Wales, uk",4.0/10 ,-*-, M.B.A Business Adminis...$16.4K/Yr
"Tennessee Technological University, Cookeville","Tennessee, usa",4.0/10 ,-*-, M.S Electrical and Com...$17.4K/Yr
"Oberlin College & Conservatory, Oberlin","Ohio, usa",4.0/10 ,-*-, M.A Contemporary Chamb...$55.1K/Yr
"Colgate University, Hamilton","New York, usa",4.0/10 , TOEFL 100 , M.A Teaching$57.7K/Yr
"Eastern Michigan University, Ypsilanti","Michigan, usa",4.0/10 ,Estd. Year, M.S Computer Science$24K/Yr
"Universiti Tenaga Nasional (UNITEN), kajang","Selangor, malaysia",4.0/10 ,-*-, B.Sc Computer and Comm...$14.1K/Yr
"University of Northern Colorado, Greeley","Colorado, usa",4.0/10 ,-*-, M.S Nursing - Family N...$22.5K/Yr
"Loyola Marymount University, Los Angeles","California, usa",4.0/10 ,-*-, M.A Yoga Studies$29.4K/Yr
"Lafayette College, Easton","Massachusetts, usa",4.0/10 ,-*-, B.A Engineering Studie...$52.4K/Yr
"University of Quebec in Outaouais, Gatineau","Quebec, canada",4.0/10 ,Estd. Year, Master Project Managem...$16.5K/Yr
"Indiana University - Purdue University Fort Wayne, Fort Wayne","Indiana, usa",4.0/10 ,Estd. Year, M.S Organizational Lea...$16.5K/Yr
"John Jay College of Criminal Justice, New York City","New York, usa",4.0/10 ,-*-, M.S Forensic Science$24.9K/Yr
"University of Puerto Rico - Medical Sciences Campus, San Juan","Puerto Rico, usa",4.0/10 ,-*-, M.S. Specialization in...--
"University of Quebec in Abitibi-Temiscamingue, Rouyn-Noranda","Quebec, canada",4.0/10 , TOEFL 61 , Master Sustainable Man...$14.2K/Yr
"Pace University, New York City","New York, usa",4.0/10 , IELTS 6.5 , M.A Public Administrat...$39.1K/Yr
"Reed College, Portland","Oregon, usa",4.0/10 ,-*-, B.A/B.Sc International...$53.2K/Yr
"West Chester University, West Chester","Pennsylvania, usa",4.0/10 ,-*-, M.S Applied Statistics...$22.5K/Yr
"College of Holy Cross, Worcester","Massachusetts, usa",4.0/10 ,-*-, B.Sc Computer Science$52.4K/Yr
"Abertay University, Dundee","Scotland, uk",4.0/10 , IELTS 6.0 , M.Eng Civil and Enviro...$18.2K/Yr
"Central Washington University, Ellensburg","Washington, usa",4.0/10 ,-*-, M.S Computational Scie...$11.4K/Yr
"Vassar College, Poughkeepsie","New York, usa",4.0/10 ,-*-, B.Sc Computer Science$56.1K/Yr
"University of Texas Health Science Center, Houston","Texas, usa",4.0/10 ,-*-, M.A Public Health - Bi...$18.2K/Yr
"The College of New Jersey, Ewing Township","New Jersey, usa",4.0/10 ,-*-, M.S Adult-Gerontologic...$36.6K/Yr
"Florida Gulf Coast University, Fort Myers","Florida, usa",4.0/10 ,-*-, M.S Engineering$39K/Yr
"University of Texas Health Science Center, San Antonio","Texas, usa",4.0/10 ,-*-, M.S Biomedical Enginee...$28.4K/Yr
"Indiana University South Bend, South Bend","Indiana, usa",4.0/10 ,Estd. Year, M.S Applied Mathematic...$20.8K/Yr
"Athabasca University, Athabasca","Alberta, canada",4.0/10 , IELTS 6.0 , M.Sc Information Syste...$16.7K/Yr
"Adelphi University, Garden City","New York, usa",4.0/10 ,-*-, M.S Healthcare Informa...$37.8K/Yr
"University of Duesseldorf, Dusseldorf","North Rhine-Westphalia, germany",4.0/10 , IELTS 6 , M.Sc Artificial Intell...--
"Seton Hall University, South Orange","New Jersey, usa",4.0/10 ,-*-, M.B.A Management$38.4K/Yr
"University of Skovde, Skovde","Vastergotland, sweden",4.0/10 ,Estd. Year, M.S Data Science$14.3K/Yr
"Seattle University, Seattle","Washington, usa",4.0/10 , IELTS 7 , M.Sc Computer Science$26.8K/Yr
"Leipzig University, Leipzig","Saxony, germany",4.0/10 , TOEFL 79 , M.Sc International Ene...--
"Bryn Mawr College, Bryn Mawr","Pennsylvania, usa",4.0/10 ,-*-, M.A Chemistry$43.6K/Yr
"Sodertorn University, Stockholm","Uppland, sweden",4.0/10 ,Estd. Year, M.S Infectious Disease...$16.2K/Yr
"Macalester College, Saint Paul","Minnesota, usa",4.0/10 ,-*-, B.Sc Computer Science$54.3K/Yr
"Western Illinois University, Macomb","Illinois, usa",4.0/10 ,-*-, M.Sc Computer Science--
"Lingnan University, Tuen Mun","Hong Kong, hong-kong",4.0/10 ,-*-, M.A$29.1K/Yr
"California State University, Chico","California, usa",4.0/10 ,-*-, M.A Recreation Adminis...$12.4K/Yr
"Claremont McKenna College, Claremont","California, usa",4.0/10 ,-*-, B.A/B.Sc Literature$54.2K/Yr
"State University of New York at New Paltz, New Paltz","New York, usa",4.0/10 , IELTS 6.5 , M.S Computer Science$28.3K/Yr
"Gettysburg College, Gettysburg","Pennsylvania, usa",4.0/10 ,-*-, B.A Computer Science$54.5K/Yr
"University of Washington, Bothell","Washington, usa",4.0/10 , IELTS 6 , B.Sc Neuroscience$39.1K/Yr
"Nipissing University, North Bay","Ontario, canada",4.0/10 , TOEFL 93 , M.Ed$13.8K/Yr
"Northern Kentucky University, Highland Heights","Kentucky, usa",4.0/10 ,-*-, M.S Computer Informati...$28.3K/Yr
"University of Washington, Tacoma","Washington, usa",4.0/10 , GMAT 730 | IELTS 7 , M.Sc Entrepreneurship$40.5K/Yr
"Buffalo State, Buffalo","New York, usa",4.0/10 ,Estd. Year, M.S Business and Marke...$23.3K/Yr
"University of West Florida, Pensacola","Florida, usa",4.0/10 ,-*-, M.S Computer Science$31.1K/Yr
"Canterbury Christ Church University, Canterbury","England, uk",4.0/10 , IELTS 6.5 , M.Sc International Bus...$17.7K/Yr
"University of Tennessee Health Science Center, Memphis","Tennessee, usa",4.0/10 ,-*-, Master Biomedical Scie...$36K/Yr
"California State University, San Bernardino","California, usa",4.0/10 ,-*-, M.Sc Computer Science$17.8K/Yr
