UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE,GREGMAT,IELTSTOEFL
University of California Santa Cruz,California usa,5.0 ,N/A,15,N/A,
Nova Southeastern University Fort Lauderdale,Florida usa,5.0 , GRE 297 | TOEFL 80 ,25, GRE 297 , TOEFL 80 
Syracuse University Syracuse,New York usa,5.0 , GMAT 600 | IELTS 7 ,50, GMAT 600 , IELTS 7 
Clark University Worcester,Massachusetts usa,5.0 , GMAT 588 | IELTS 5.1 ,57, GMAT 588 , IELTS 5.1 
California State University Northridge,California usa,4.9 ,N/A,10,N/A,
University of Oregon Eugene,Oregon usa,4.9 , GRE 307 | IELTS 7 ,47, GRE 307 , IELTS 7 
Drexel University Philadelphia,Pennsylvania usa,4.9 ,N/A,,N/A,
Temple University Philadelphia,Pennsylvania usa,4.9 , TOEFL 79 ,37, TOEFL 79 ,
University of Kansas Lawrence,Kansas usa,4.9 ,N/A,30,N/A,
Louisiana State University Baton Rouge,Louisiana usa,4.9 ,N/A,29,N/A,
