UNIVERSITY NAME,LOCATION,RATING,SCORES,PRICE,GREGMAT,IELTSTOEFL
Samford University Birmingham,Alabama usa,NA,N/A,13,N/A,
Birmingham - Southern College Birmingham,Alabama usa,NA,N/A,16,N/A,
Virginia Tech Blacksburg,Virginia usa,NA, GMAT 600 | TOEFL 90 ,29, GMAT 600 , TOEFL 90 
Illinois Wesleyan University Bloomington,Illinois usa,NA,N/A,47,N/A,
Bloomsburg University of Pennsylvania Bloomsburg,Pennsylvania usa,NA,N/A,21,N/A,
Dell'Arte International Blue Lake,California usa,NA,Estd. Year,16,Estd. Year,
Bluefield State College Bluefield,West Virginia usa,NA,Estd. Year,16,Estd. Year,
Bluffton University Bluffton,Ohio usa,NA,Estd. Year,33,Estd. Year,
Lynn University Boca Raton,Florida usa,NA,N/A,12,N/A,
Northeastern University Boston,Massachusetts usa,NA, GRE 298 | IELTS 6.5 ,51, GRE 298 , IELTS 6.5 
Suffolk University Boston,Massachusetts usa,NA,N/A,43,N/A,
Massachusetts College of Art and Design Boston,Massachusetts usa,NA,Estd. Year,23,Estd. Year,
Emerson College Boston,Massachusetts usa,NA,N/A,30,N/A,
Wheelock College of Education & Human Development Boston,Massachusetts usa,NA,Estd. Year,52,Estd. Year,
Boston Architectural College Boston,Massachusetts usa,NA,Estd. Year,30,Estd. Year,
Fisher College Boston,Massachusetts usa,NA,Estd. Year,30,Estd. Year,
Cambridge College Boston,Massachusetts usa,NA,Estd. Year,16,Estd. Year,
Wentworth Institute of Technology Boston,Massachusetts usa,NA,N/A,34,N/A,
New England Law | Boston Boston,Massachusetts usa,NA,Estd. Year,49,Estd. Year,
New England Conservatory of Music Boston,Massachusetts usa,NA,Estd. Year,47,Estd. Year,
Bay State College Boston,Massachusetts usa,NA,Estd. Year,27,Estd. Year,
Benjamin Franklin Institute of Technology Boston,Massachusetts usa,NA,Estd. Year,18,Estd. Year,
Naropa University Boulder,Colorado usa,NA,Estd. Year,22,Estd. Year,
Massachusetts Maritime Academy Buzzards Bay,Massachusetts usa,NA,N/A,25,N/A,
Bowie State University Bowie,Maryland usa,NA,Estd. Year,19,Estd. Year,
SIT Graduate Institute Brattleboro,Vermont usa,NA,Estd. Year,13,Estd. Year,
University of Bridgeport Bridgeport,Connecticut usa,NA,Estd. Year,28,Estd. Year,
Bridgewater State University Bridgewater,Massachusetts usa,NA,Estd. Year,7,Estd. Year,
Bridgewater College Bridgewater,Virginia usa,NA,Estd. Year,23,Estd. Year,
Roger Williams University Bristol,Rhode Island usa,NA,N/A,18,N/A,
